id,gender,raceeth,sexornt,age,educ5,pid7,ideo,abortion,climate_weather,deathpenalty,photoid,tax_mil,trans_discr,blm_ft,fauci_ft,feminists_ft,nra_ft,police_ft,scotus_ft,socialists_ft
200015,1. Male,3. Hispanic,1. Heterosexual or straight,46,bachelors,7. Strong Republican,6. Conservative,"2. The law should permit abortion only in case of rape, incest, or when the woma",2. A little,1. Favor strongly,1. Favor a great deal,2. Oppose,3. A moderate amount,0,50,65,50,85,100,0
200022,2. Female,"4. Asian or Native Hawaiian/other Pacific Islander, non-Hispanic alone",1. Heterosexual or straight,37,some college,4. Independent,2. Liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",2. A little,1. Favor strongly,1. Favor a great deal,1. Favor,2. A lot,70,50,100,50,90,50,40
200039,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,40,HS,3. Independent-Democrat,2. Liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,4. Oppose strongly,6. Oppose moderately,1. Favor,1. A great deal,80,100,75,0,40,25,75
200046,1. Male,"4. Asian or Native Hawaiian/other Pacific Islander, non-Hispanic alone",1. Heterosexual or straight,41,some college,6. Not very strong Republican,3. Slightly liberal,"1. By law, abortion should never be permitted",4. A lot,1. Favor strongly,2. Favor moderately,1. Favor,5. None at all,50,100,70,,100,85,
200053,1. Male,"5. Native American/Alaska Native or other race, non-Hispanic alone",1. Heterosexual or straight,72,post-grad,4. Independent,5. Slightly conservative,3. The law should permit abortion other than for rape/incest/danger to woman but,1. Not at all,2. Favor not strongly,1. Favor a great deal,3. Neither favor nor oppose,5. None at all,0,0,30,70,70,60,0
200060,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,71,some college,3. Independent-Democrat,2. Liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,2. Favor not strongly,1. Favor a great deal,1. Favor,2. A lot,70,85,60,15,70,60,60
200084,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,37,some college,6. Not very strong Republican,6. Conservative,3. The law should permit abortion other than for rape/incest/danger to woman but,5. A great deal,1. Favor strongly,2. Favor moderately,1. Favor,2. A lot,0,0,60,85,60,70,0
200091,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,45,HS,6. Not very strong Republican,6. Conservative,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,1. Favor strongly,4. Neither favor nor oppose,1. Favor,5. None at all,,,100,50,100,50,
200107,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,70,HS,4. Independent,6. Conservative,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",1. Not at all,1. Favor strongly,3. Favor a little,2. Oppose,3. A moderate amount,60,30,50,,60,50,
200114,1. Male,3. Hispanic,1. Heterosexual or straight,43,some college,2. Not very strong Democrat,2. Liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,4. Oppose strongly,1. Favor a great deal,3. Neither favor nor oppose,1. A great deal,50,50,50,50,70,50,50
200121,2. Female,3. Hispanic,1. Heterosexual or straight,37,HS,1. Strong Democrat,6. Conservative,"1. By law, abortion should never be permitted",4. A lot,3. Oppose not strongly,4. Neither favor nor oppose,3. Neither favor nor oppose,1. A great deal,0,85,0,,50,40,0
200138,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,55,HS,2. Not very strong Democrat,6. Conservative,"2. The law should permit abortion only in case of rape, incest, or when the woma",3. A moderate amount,1. Favor strongly,2. Favor moderately,3. Neither favor nor oppose,1. A great deal,50,70,70,40,70,50,
200152,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,30,HS,7. Strong Republican,6. Conservative,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",3. A moderate amount,1. Favor strongly,4. Neither favor nor oppose,2. Oppose,4. A little,0,50,0,,50,0,
200169,1. Male,"4. Asian or Native Hawaiian/other Pacific Islander, non-Hispanic alone",1. Heterosexual or straight,38,post-grad,2. Not very strong Democrat,3. Slightly liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,3. Oppose not strongly,4. Neither favor nor oppose,1. Favor,2. A lot,100,85,70,0,0,30,50
200176,2. Female,"2. Black, non-Hispanic",1. Heterosexual or straight,41,some college,3. Independent-Democrat,2. Liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",3. A moderate amount,3. Oppose not strongly,4. Neither favor nor oppose,1. Favor,4. A little,70,60,60,40,60,60,60
200183,1. Male,3. Hispanic,1. Heterosexual or straight,66,some college,5. Independent-Republican,6. Conservative,3. The law should permit abortion other than for rape/incest/danger to woman but,2. A little,2. Favor not strongly,1. Favor a great deal,1. Favor,2. A lot,0,30,30,100,85,60,
200190,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,54,bachelors,3. Independent-Democrat,3. Slightly liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",4. A lot,2. Favor not strongly,6. Oppose moderately,1. Favor,2. A lot,70,80,50,30,70,40,50
200206,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,55,bachelors,1. Strong Democrat,3. Slightly liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,2. Favor not strongly,6. Oppose moderately,1. Favor,2. A lot,85,100,70,0,85,70,40
200220,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,62,bachelors,1. Strong Democrat,2. Liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,3. Oppose not strongly,4. Neither favor nor oppose,1. Favor,3. A moderate amount,60,100,60,0,70,70,40
200244,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,80,HS,2. Not very strong Democrat,3. Slightly liberal,"2. The law should permit abortion only in case of rape, incest, or when the woma",4. A lot,4. Oppose strongly,2. Favor moderately,1. Favor,3. A moderate amount,70,90,85,15,85,90,60
200268,1. Male,3. Hispanic,1. Heterosexual or straight,31,post-grad,7. Strong Republican,6. Conservative,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",3. A moderate amount,2. Favor not strongly,1. Favor a great deal,2. Oppose,2. A lot,0,10,20,100,100,80,30
200275,2. Female,3. Hispanic,1. Heterosexual or straight,80,<HS,1. Strong Democrat,2. Liberal,3. The law should permit abortion other than for rape/incest/danger to woman but,5. A great deal,4. Oppose strongly,1. Favor a great deal,1. Favor,1. A great deal,100,30,70,0,60,40,60
200282,1. Male,"1. White, non-Hispanic",3. Bisexual,24,bachelors,3. Independent-Democrat,2. Liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",4. A lot,4. Oppose strongly,6. Oppose moderately,1. Favor,2. A lot,50,85,50,0,15,25,60
200305,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,55,post-grad,7. Strong Republican,6. Conservative,"2. The law should permit abortion only in case of rape, incest, or when the woma",3. A moderate amount,1. Favor strongly,2. Favor moderately,3. Neither favor nor oppose,4. A little,50,50,50,,50,50,50
200312,2. Female,3. Hispanic,1. Heterosexual or straight,59,<HS,2. Not very strong Democrat,,"2. The law should permit abortion only in case of rape, incest, or when the woma",5. A great deal,1. Favor strongly,1. Favor a great deal,1. Favor,2. A lot,50,50,60,,70,70,50
200329,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,73,bachelors,1. Strong Democrat,2. Liberal,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",5. A great deal,3. Oppose not strongly,4. Neither favor nor oppose,1. Favor,3. A moderate amount,75,75,80,45,65,60,50
200343,2. Female,"1. White, non-Hispanic",1. Heterosexual or straight,72,<HS,5. Independent-Republican,6. Conservative,"2. The law should permit abortion only in case of rape, incest, or when the woma",4. A lot,3. Oppose not strongly,1. Favor a great deal,1. Favor,3. A moderate amount,100,85,50,85,85,85,0
200374,1. Male,"1. White, non-Hispanic",1. Heterosexual or straight,50,bachelors,5. Independent-Republican,5. Slightly conservative,"4. By law, a woman should always be able to obtain an abortion as a matter of pe",4. A lot,2. Favor not strongly,2. Favor moderately,1. Favor,2. A lot,50,50,50,50,60,50,50
