birthyr,schoolyr,residence,hometown,major,eyecolor,height,computer,howgoing
2005,Junior,Bronx,New York City,Politics,Brown,67,Mac,Decent
2003,Senior,Brooklyn,Northeast U.S.,Politics,Brown,72,Mac,Good
2005,Junior,Brooklyn,Latin America/Caribbean,Other,Brown,60,Mac,Decent
2005,Junior,Brooklyn,New York City,Politics,Brown,74,Mac,Meh
,Other,Brooklyn,Oceana,Politics,Brown,66,Windows,Decent
2005,Junior,Brooklyn,New York City,International Relations,Brown,68,Mac,Decent
2003,Senior,Brooklyn,Western U.S.,Politics,Green,72,Mac,Decent
2004,Junior,Brooklyn,New York City,Politics,Green,74,Mac,Meh
2005,Junior,Brooklyn,Northeast U.S.,Other,Hazel,73,Mac,Meh
2004,Junior,Manhattan,Northeast U.S.,Economics,Blue,75,Mac,Fantastic
2005,Sophomore,Manhattan,"CT, NJ or NY - but not NYC",Politics,Blue,64,Mac,Good
2005,Junior,Manhattan,Canada,Politics,Blue,64,Mac,Decent
2005,Junior,Manhattan,New York City,International Relations,Blue,71,Mac,Meh
2005,Junior,Manhattan,Western U.S.,Politics,Blue,61,Mac,Good
2005,Junior,Manhattan,Europe,Politics,Blue,65,Mac,Decent
2006,Sophomore,Manhattan,Western U.S.,Politics,Blue,64,Mac,Good
2004,Junior,Manhattan,Midwest U.S.,Other,Blue,68,Mac,Fantastic
2006,Sophomore,Manhattan,Canada,International Relations,Blue,67,Mac,Good
2003,Senior,Manhattan,Latin America/Caribbean,International Relations,Blue,69,Mac,Good
2002,Senior,Manhattan,Western U.S.,Politics,Blue,68,Mac,Fantastic
2005,Junior,Manhattan,Europe,International Relations,Brown,74,Mac,Decent
2004,Senior,Manhattan,"CT, NJ or NY - but not NYC",Other,Brown,60,Mac,Fantastic
2006,Sophomore,Manhattan,Northeast U.S.,International Relations,Brown,71,Mac,Good
2006,Junior,Manhattan,Asia,Politics,Brown,71,Mac,Decent
2005,Junior,Manhattan,"CT, NJ or NY - but not NYC",Politics,Brown,61,Mac,Meh
2006,Sophomore,Manhattan,Canada,International Relations,Brown,66,Mac,Decent
2006,Sophomore,Manhattan,New York City,Politics,Brown,64,Mac,Decent
2005,Junior,Manhattan,Western U.S.,International Relations,Brown,69,Mac,Good
2006,Sophomore,Manhattan,Canada,Politics,Brown,61,Mac,Decent
2005,Junior,Manhattan,Western U.S.,Politics,Brown,66,Mac,Terrible
2005,Junior,Manhattan,Western U.S.,Politics,Brown,57,Mac,Meh
2005,Junior,Manhattan,Asia,International Relations,Brown,62,Mac,Decent
2004,Junior,Manhattan,Northeast U.S.,Politics,Brown,69,Mac,Good
2006,Sophomore,Manhattan,Southern U.S.,International Relations,Brown,64,Mac,Decent
2005,Junior,Manhattan,Midwest U.S.,Politics,Brown,67,Mac,Good
2005,Junior,Manhattan,Asia,International Relations,Brown,62,Mac,Poorly
2004,Junior,Manhattan,Northeast U.S.,Other,Brown,74,Mac,Decent
2004,Junior,Manhattan,Northeast U.S.,Politics,Brown,74,Mac,Decent
2005,Junior,Manhattan,Midwest U.S.,Politics,Brown,66,Mac,Fantastic
2005,Sophomore,Manhattan,Asia,International Relations,Brown,73,Mac,Decent
2004,Sophomore,Manhattan,Southern U.S.,Economics,Brown,62,Mac,Decent
2005,Sophomore,Manhattan,"CT, NJ or NY - but not NYC",Politics,Brown,66,Mac,Good
2005,Sophomore,Manhattan,"CT, NJ or NY - but not NYC",International Relations,Brown,65,Mac,Good
2006,Sophomore,Manhattan,"CT, NJ or NY - but not NYC",Politics,Brown,65,Mac,Decent
2006,Sophomore,Manhattan,Northeast U.S.,Politics,Brown,64,Mac,Good
2005,Junior,Manhattan,Middle East,Politics,Brown,63,Mac,Good
